127.0.0.1, 56412, 1
127.0.0.1, 56412, 2
127.0.0.1, 56412, 6
127.0.0.1, 56412, 24
127.0.0.1, 56412, 120
127.0.0.1, 56412, 720
127.0.0.1, 56412, 5040
127.0.0.1, 56412, 40320
127.0.0.1, 56412, 362880
127.0.0.1, 56412, 3628800
127.0.0.1, 56412, 39916800
127.0.0.1, 56412, 479001600
127.0.0.1, 56412, 1932053504
127.0.0.1, 56412, 1278945280
127.0.0.1, 56412, 2004310016
127.0.0.1, 56412, 2004189184
127.0.0.1, 56412, -288522240
127.0.0.1, 56412, -898433024
127.0.0.1, 56412, 109641728
127.0.0.1, 56412, -2102132736
