127.0.0.1, 53572, 1
127.0.0.1, 53572, 2
127.0.0.1, 53572, 6
127.0.0.1, 53572, 24
127.0.0.1, 53572, 120
127.0.0.1, 53572, 720
127.0.0.1, 53572, 5040
127.0.0.1, 53572, 40320
127.0.0.1, 53572, 362880
127.0.0.1, 53572, 3628800
127.0.0.1, 53572, 39916800
127.0.0.1, 53572, 479001600
127.0.0.1, 53572, 1932053504
127.0.0.1, 53572, 1278945280
127.0.0.1, 53572, 2004310016
127.0.0.1, 53572, 2004189184
127.0.0.1, 53572, -288522240
127.0.0.1, 53572, -898433024
127.0.0.1, 53572, 109641728
127.0.0.1, 53572, -2102132736
