127.0.0.1, 52548, 1
127.0.0.1, 52548, 2
127.0.0.1, 52548, 6
127.0.0.1, 52548, 24
127.0.0.1, 52548, 120
127.0.0.1, 52548, 720
127.0.0.1, 52548, 5040
127.0.0.1, 52548, 40320
127.0.0.1, 52548, 362880
127.0.0.1, 52548, 3628800
127.0.0.1, 52548, 39916800
127.0.0.1, 52548, 479001600
127.0.0.1, 52548, 1932053504
127.0.0.1, 52548, 1278945280
127.0.0.1, 52548, 2004310016
127.0.0.1, 52548, 2004189184
127.0.0.1, 52548, -288522240
127.0.0.1, 52548, -898433024
127.0.0.1, 52548, 109641728
127.0.0.1, 52548, -2102132736
